,Date,Timestamp,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,Tweets
25,26/01/2022,1643135400.0,27446,13403,1.77,Republic Day. Sri T.T Adhyayanotsavam Ends,81,Broken clouds,['\n??????: ???????? ???\u200c????\u200c?? ?????\u200c?\u200c?? ???????? ?????????? ?\u200c???\u200c? ???????\u200c?? ?????\u200c? ???\u200c????? ??????.. ?????? 12 ??? ??????? ????\u200c???? ???\u200c????? ?\u200c???\u200c?? ???????? ???\u200c????\u200c?? ?????\u200c????? ??????']
26,27/01/2022,1643221800.0,27536,13635,2.09,normal,79,Light intensity shower rain,[]
27,28/01/2022,1643308200.0,24888,12650,2.1,Ekadasi,79,Few clouds,"['\n???????: ????????? ???? ????? ??????? ?????? ??????????? ?????? ??????? ???? ????????????. ????????? ??????? ????? ???? ??????? ???? ?????? ??????? ????? ?????? ??????. ???? ???? ???\u200c?? ????\u200c ????? ?????? ?????? ????? ???????????????? ?????????. ', '\n?????\u200c?\u200c: ???\u200c????\u200c?? ???????? ???\u200c????? ?\u200c???\u200c? ???????\u200c?? ???????\u200c. 40 ???????????? ???????  ?????\u200c?\u200c?? ???? ???\u200c????? ?\u200c???\u200c?? ????????.  ?????? 12 ???? ??????? ???????? ?????\u200c? ????? ??????.   ']"
28,29/01/2022,1643394600.0,28234,12466,2.3,normal,79,Overcast clouds,"['\nNo Money, no Darshan policy by ', '\n?????? ?????? ?????????? 24,888 ???? ??????? ????????????????. ???????? ?????????? 12,650 ???? ???????. ????? ???????? ????? ????? ??. 2.1 ??????']"
29,30/01/2022,1643481000.0,27896,11135,2.41,Masasivaratri,84,Few clouds,['\n??????? ?? ']
30,31/01/2022,1643567400.0,26401,12401,2.18,normal,86,Few clouds,[]
31,01/02/2022,1643653800.0,29496,12210,1.97,"Amavasya, Tirumala Sri T.T Adhyayanotsavam Begins",86,Broken clouds,"['\n??????:\n?????? ??????????? ??????. \n????? ????? ????????? ??? ?????? ?????????. \n???????? ???????? ???? ????????? ??????? ????????? ????????? ????. \n17? ????? ????????? ????????? ???? ???? ?? ???????. \n???????? ????? ???? ????? ?????? ????????? ??????.', '\n?????? ?????? ??????????  26,401 ???? ??????? ????????????????. ???????? ?????????? ???? 12,401 ???? ???????. ????? ????? ??.2.18 ??????.']"
32,02/02/2022,1643740200.0,29026,15110,2.18,normal,86,Partly cloudy,"['\n?????? ?????? ????????? ??????? ??????????\n\n-????????? ????????????? ???? ?????????????? ????', '\n?????? ?????? ????????? ??????? ??????????\n\n-????????? ????????????? ???? \n@VSReddy_MP\n ????']"
33,03/02/2022,1643826600.0,31167,15701,1.83,"Amavasya, Tirupati Sri KT Kalyanotsavam",86,Partly cloudy,[]
34,04/02/2022,1643913000.0,28410,14831,2.08,Ugadi,90,Clear sky,['\nToday went to ']
35,05/02/2022,1643999400.0,34632,16399,2.19,Krittika,86,Few clouds,['\nReplying to \n@Swamy39\nThank you for revealing the truth sir. These caste fanatics of TDP have been trying to now raise communal passions among people thus disturbing law and order sir. Thank you for speaking on behalf of ']
36,06/02/2022,1644085800.0,33737,13954,2.82,normal,84,Few clouds,[]
37,07/02/2022,1644172200.0,35516,13797,2.53,normal,84,Few clouds,[]
38,08/02/2022,1644258600.0,30172,10829,2.22,"Garuda Panchami, Tirumala Sri TT Garuda Sava, Vayalpadu Sri PRS Pattabhishekam Begins",84,Clear sky,['']
39,09/02/2022,1644345000.0,32092,29985,2.45,normal,84,Clear sky,['\n???????: ????????? ??????? ??????. ??????????? ?????? ?????????? ????? ??????? ??????. ??? ?????????? ???????. ??????? ?????? ??????? ???????? ????????? ??????? ??????. ???? ?????? ??????? ??????? ??????? ??????.']
