,Date,Piligrims,Tonsures,Hundi,Temperature,Condition,ttd online darshan tickets,Tirupati,Tirumala,VIP darshan,How to reach Tirupati,ttd sarva darshan tickets,ttd free darshan online booking availability,apsrtc tirumala darshan tickets,apsrtc ttd 300 tickets,ksrtc tirupati package,srinivasam complex,tirumala darshan tickets,tirumala darshan,tirupati balaji.ap.gov.in,tirupati darshan 500 rupees ticket,ttd free darshan online booking availability.1,Week_day,Review,Timestamp,Day,Speciality,Festivals,Tidi,Seva_Begins,Sevas,Public_Day,Normal
30,2022-1-31,26401,12401,2.18,86,972,8,37,20,13,22,0,8,0,0,46,0,11,12,21,0,8,0,0,1643567400.0,Monday,normal,0,0,0,0,0,1
31,2022-2-1,29496,12210,1.97,86,1291,0,37,18,0,0,15,0,0,27,0,0,18,16,17,0,0,0,1,1643653800.0,Tuesday,"Amavasya, Tirumala Sri T.T Adhyayanotsavam Begins",0,1,1,0,0,0
32,2022-2-2,29026,15110,2.18,86,1324,10,34,18,0,0,0,0,29,0,0,21,7,9,0,0,0,0,0,1643740200.0,Wednesday,normal,0,0,0,0,0,1
33,2022-2-3,31167,15701,1.83,86,1324,0,36,17,0,0,0,0,0,40,0,0,18,16,10,0,0,0,0,1643826600.0,Thursday,"Amavasya, Tirupati Sri KT Kalyanotsavam",0,1,0,1,0,0
34,2022-2-4,28410,14831,2.08,90,862,4,40,18,15,0,0,12,0,0,25,17,20,13,12,0,12,0,0,1643913000.0,Friday,Ugadi,1,0,0,0,0,0
35,2022-2-5,34632,16399,2.19,86,972,0,41,19,0,0,0,0,0,0,0,66,6,7,0,0,0,1,1,1643999400.0,Saturday,Krittika,0,1,0,0,0,0
36,2022-2-6,33737,13954,2.82,84,972,0,36,22,10,25,0,0,0,0,0,0,10,11,0,32,0,1,0,1644085800.0,Sunday,normal,0,0,0,0,0,1
37,2022-2-7,35516,13797,2.53,84,972,0,37,17,0,0,18,0,0,0,0,0,0,12,13,30,0,0,0,1644172200.0,Monday,normal,0,0,0,0,0,1
38,2022-2-8,30172,10829,2.22,84,862,0,39,21,0,0,0,13,0,0,0,0,8,8,0,0,13,0,0,1644258600.0,Tuesday,"Garuda Panchami, Tirumala Sri TT Garuda Sava, Vayalpadu Sri PRS Pattabhishekam Begins",0,1,0,1,0,0
39,2022-2-9,32092,29985,2.45,84,862,0,35,20,11,0,0,0,0,0,25,0,44,13,0,0,0,0,1,1644345000.0,Wednesday,normal,0,0,0,0,0,1
